Program Name,Program Phone,Program Email,Program Address 1,Program Address 2,Town,Program Zip,EEC Regional Office Address:,Program Contact Name,License First Issue Date,Most Recently Renewed,License Number,Capacity,CCRR Name,CCRR Phone,Program Type
A Child's Place Pre-School,(781) 447-7228,nehagerty@yahoo.com,49 School St,,Whitman,02382-1904,"100 Myles Standish Blvd.  Suite 100, Taunton, MA 02780",Nancy E Hagerty,8/25/87,2/22/24,9140736,37,Child Care Works,(508) 999-9930,Large Group
A Child's View,(617) 929-3658,daycareconsultants@yahoo.com,56 PLEASANT STREET,,Dorchester,2125,"500 Victory Road, Suite 2100, Quincy, MA 02171",damequa williams,8/26/09,4/18/22,9100335,100,Child Care Choices of Boston,(617) 542-5437,Large Group
A Childs View Early Learning Center IV,(617) 773-5437,achildsviewwash@yahoo.com,618 WASHINGTON STREET,,Quincy,2169,"500 Victory Road, Suite 2100, Quincy, MA 02171",Frances Christello or Alice McConville,8/15/12,11/30/21,9092679,86,Community Care for Kids,(617) 657-5305,Large Group
A to Z Preschool and Childcare LLC,(781) 444-6541,atozneedham@gmail.com,126 Gould St.,,Needham,2494,"324-R Clark Street, Worcester, MA 01606",Andrew Lange,7/14/24,1/14/25,9162373,77,Community Care for Kids,(617) 657-5305,Large Group
ABACUS @ Brennan Middle School,(508) 222-0309,klaramee@attleboroschools.com,320 Rathbun Willard Drive,,Attleboro,2703,"100 Myles Standish Blvd.  Suite 100, Taunton, MA 02780",,8/13/20,8/13/24,9155255,26,Child Care Works,(508) 999-9930,Public School
ABACUS @ Hill Roberts Elementary School,(508) 222-0309,klaramee@attleboroschools.com,80 Roy Avenue,,South Attleboro,2703,"100 Myles Standish Blvd.  Suite 100, Taunton, MA 02780",Kim Laramee,9/17/20,9/17/24,9157849,52,Child Care Works,(508) 999-9930,Public School
ABACUS @ Hyman Fine Elementary School,(508) 222-0309,klaramee@attleboroschools.com,790 Oakhill Avenue,,Attleboro,2703,"100 Myles Standish Blvd.  Suite 100, Taunton, MA 02780",Kim Laramee,9/20/20,9/20/24,9157850,51,Child Care Works,(508) 999-9930,Public School
ABACUS @ Studley Elementary School,(508) 222-0309,klaramee@attleboroschools.com,299 Rathbun Willard Drive,,Attleboro,2703,"100 Myles Standish Blvd.  Suite 100, Taunton, MA 02780",Kimberly Laramee,9/21/20,9/21/24,9157852,52,Child Care Works,(508) 999-9930,Public School
ABACUS @ Thacher Elementary School,(508) 222-0309,klaramee@attleboroschools.com,160 James Street,,Attleboro,2703,"100 Myles Standish Blvd.  Suite 100, Taunton, MA 02780",Kimberly  Laramee,9/24/20,9/24/24,9157853,51,Child Care Works,(508) 999-9930,Public School
ABACUS @ Wamsutta  Middle School,(508) 222-0309,klaramee@attleboroschools.com,300 Locust Street,,Attleboro,2703,"100 Myles Standish Blvd.  Suite 100, Taunton, MA 02780",Kimberly Jean Laramee,10/26/20,10/26/24,9158935,124,Child Care Works,(508) 999-9930,Public School
ABACUS @ Willett Elementary School,(508) 222-0309,klaramee@attleboroschools.com,32 Watson Street,,Attleboro,2703,"100 Myles Standish Blvd.  Suite 100, Taunton, MA 02780",,10/7/20,10/7/24,9158923,51,Child Care Works,(508) 999-9930,Public School
ABCD Allston Brighton Headstart,(617) 903-3494,alketa.bocova@bostonabcd.org,41 Quint Avenue,,Allston,2134,"500 Victory Road, Suite 2100, Quincy, MA 02171",Alketa Bocova,11/7/16,7/27/23,9125220,39,Child Care Choices of Boston,(617) 542-5437,Large Group
ABCD EARLY HEADSTART,(617) 929-6200,danielle.grow@bostonabcd.org,198 GENEVA AVENUE,,Dorchester,2121,"500 Victory Road, Suite 2100, Quincy, MA 02171",Danielle Grow,11/19/88,4/20/24,9143077,72,Child Care Choices of Boston,(617) 542-5437,Large Group
ABCD Head Start and Children's Services @ Harrison Ave.,(617) 426-2855,flossy.calderon@bostonabcd.org,595 Harrison Avenue,,Boston,2118,"500 Victory Road, Suite 2100, Quincy, MA 02171",Donna Grimaldi,4/6/90,10/23/23,9127199,200,Child Care Choices of Boston,(617) 542-5437,Large Group
ABCD Walnut Grove Head Start,(617) 445-8202,gail.smith@bostonabcd.org,22 ELM HILL AVENUE,,Dorchester,2121,"500 Victory Road, Suite 2100, Quincy, MA 02171",Gail Yvonne Smith,12/29/89,9/4/23,9127456,118,Child Care Choices of Boston,(617) 542-5437,Large Group
Above & Beyond  SACC  Program @ Brookview House Inc.,(617) 265-2965,dcollins@brookviewhouse.org,2 BROOKVIEW STREET,,Dorchester Center,2124,"500 Victory Road, Suite 2100, Quincy, MA 02171",Vernice Johnson,7/19/99,12/22/23,9132430,30,Child Care Choices of Boston,(617) 542-5437,Large Group
Above & Beyond SACC @ Hansborough Street,(617) 265-2965,vjohnson@brookviewhouse.org,35 Hansborough Street,,Dorchester,2124,"500 Victory Road, Suite 2100, Quincy, MA 02171",Vernice Johnson,6/27/21,12/27/23,9138432,30,Child Care Choices of Boston,(617) 542-5437,Large Group
"Abreu, Gloria",617-652-6273,geabreu508@gmail.com,405 Poplar Street,,Roslindale,2131,"500 Victory Road, Suite 2100, Quincy, MA 02171",,11/29/17,11/29/20,9078137,10,Child Care Choices of Boston,(617) 542-5437,Family Child Care
Academy Childcare,(781) 344-4433,office@academychildcarecenter.com,808 West Street,,Stoughton,2072,"100 Myles Standish Blvd.  Suite 100, Taunton, MA 02780",Ashwani Rathor,6/12/19,12/12/23,9130533,75,Child Care Works,(508) 999-9930,Large Group
Access Enrichment Program,(617) 426-1070,ep@chinatownaccess.org,244 HARRISON AVENUE,,Boston,2111,"500 Victory Road, Suite 2100, Quincy, MA 02171",Annie Tran,5/21/98,9/25/23,9128487,52,Child Care Choices of Boston,(617) 542-5437,Large Group
