external_school_id,id,schoolType,school_id,URL
155059,5312268c-2942-4520-8acd-371b0c458297,internalAndExternal,7686,https://childcare.ececd.nm.gov/-7686
1004201,45461b37-71b7-47f9-8c29-01603022e662,internalAndExternal,21122,https://childcare.ececd.nm.gov/-21122
,c5321482-3328-466e-9ac9-bcf1be9a767e,internalAndExternal,12650,https://childcare.ececd.nm.gov/-12650
,5638257c-0943-4a4f-8823-205299795d2b,internalAndExternal,19538,https://childcare.ececd.nm.gov/-19538
63983,ac188c3f-00db-4dd5-b802-36a60c0ff907,internalAndExternal,11594,https://childcare.ececd.nm.gov/-11594
64370,639d9a4b-20c1-43e2-aba7-a4a3dfcfb447,internalAndExternal,7913,https://childcare.ececd.nm.gov/-7913
64065,9968ade6-a270-4440-a069-721937e09b07,internalAndExternal,10703,https://childcare.ececd.nm.gov/-10703
64138,125eb052-4ab1-4e44-9156-f3e374214d96,internalAndExternal,11712,https://childcare.ececd.nm.gov/-11712
313228,af11ede2-aa90-40f4-8170-3f7393e77188,internalAndExternal,9323,https://childcare.ececd.nm.gov/-9323
63921,89a21fda-7385-4ff4-80ea-1a9d544efc0d,internalAndExternal,10613,https://childcare.ececd.nm.gov/-10613
154643,335d9a26-6d37-4ade-bc7a-6ef9432dbd22,internalAndExternal,7695,https://childcare.ececd.nm.gov/-7695
63699,518df321-f25d-4967-b9cd-f07f350f8bf3,internalAndExternal,13366,https://childcare.ececd.nm.gov/-13366
,658e7248-bf7c-4261-bd9a-cb78b625305d,internalAndExternal,24039,https://childcare.ececd.nm.gov/-24039
64204,a666780f-80df-4210-beb6-1b6008264034,internalAndExternal,12237,https://childcare.ececd.nm.gov/-12237
1809748,d57dff4d-affa-47b6-9c78-70ae1d3597f0,internalAndExternal,18348,https://childcare.ececd.nm.gov/-18348
3348450,d82c17fb-cba2-4fdf-a4ca-44d9c6468269,internalAndExternal,25000,https://childcare.ececd.nm.gov/-25000
362298,65d129e5-356f-45ab-810f-48d77874597e,internalAndExternal,25033,https://childcare.ececd.nm.gov/-25033
,0f96d89a-455d-47a0-8b9c-616162bbb49c,internalAndExternal,16999,https://childcare.ececd.nm.gov/-16999
,f4bb8b08-1b02-435f-be24-497a2efecaef,internalAndExternal,17066,https://childcare.ececd.nm.gov/-17066
155235,a8c569b7-9894-4f0b-996a-145f17c0976f,internalAndExternal,7527,https://childcare.ececd.nm.gov/-7527
,131b5b50-d9a4-44c0-9d31-5a6ebe4bc0f5,internalAndExternal,23516,https://childcare.ececd.nm.gov/-23516
