Program Name,Provider Enrollment Status,Program Phone,Program Email,Region,County,Shipping Street,Shipping City,Shipping State,Shipping Zip,Billing Street,Billing City,Billing State,Billing Zip,Account Record Type,GSQ Approved Step,License Number,License Issue Date,License Expiration Date,Capacity,Age Weeks Low,Age Months Low,Age Years Low,Age Years High,Program Type,
"Adventures In Learning","","(603) 733-5503","tiffany@sacovalleygym.com","","","230 East Conway Road","Center Conway","New Hampshire","03813","","","","","Licensed Group Child Care Program","Step 2","","","","40","","","","","",""
"Bearcamp Valley School & Children's Center","","(603) 323-8300","lsargent006@gmail.com","","","27 Durrell Road","Tamworth","New Hampshire","03886","","","","","Licensed Group Child Care Program","","","","","100","","","","","",""
"Berlin Head Start","","(603) 752-7138","kthomas@tccap.org","","","610 Sullivan Street","Berlin","New Hampshire","03570","","","","","Licensed Group Child Care Program","Step 3","","","","77","","","","","",""
"BGCCNNH-Boys & Girls Club of North Country","","(603) 838-5954","sbrackett@nhyouth.org","","","2572 Route 302 Building 2","Lisbon","NH","03585","","","","","Licensed Group Child Care Program","","","","","140","","","","","",""
"Children Unlimited Inc.","","(603) 447-6356","children@childrenunlimitedinc.org","","","182 West Main Street","Conway","New Hampshire","03818-0986","","","","","Licensed Group Child Care Program","Step 2","","","","68","","","","","",""
"Colebrook Community Child Care","","(603) 237-4350","colebrookcommunitycc@gmail.com","","","21 Couture Street","Colebrook","New Hampshire","03576","","","","","Licensed Group Child Care Program","Step 3","","","","57","","","","","",""
"Colebrook Community Child Care-Mighty Mohawks","","(603) 237-4350","colebrookcommunitycc@gmail.com","","","27 Dumont Street","Colebrook","NH","03576","","","","","Licensed Group Child Care Program","","","","","149","","","","","",""
"Colebrook Head Start","","(603) 237-8190","kthomas@tccap.org","","","53 Park Street","Colebrook","New Hampshire","03576","","","","","Licensed Group Child Care Program","Step 3","","","","19","","","","","",""
"Conway Head Start","","(603) 447-5161","jaubuchont@tccap.org","","","73 Main Street","Conway","New Hampshire","03818","","","","","Licensed Group Child Care Program","Step 3","","","","20","","","","","",""
"Curious Cottage Preschool at the Rey Cultural Center","","(603) 236-3308","leah@thereycenter.org","","","13 Noon Peak Road","Waterville Valley","NH","03215","","","","","Licensed Group Child Care Program","","","","","12","","","","","",""
"Easterseals Gammon Academy at Lancaster","","(603) 788-0911","gcook@eastersealsnh.org","","","525 Prospect Street","Lancaster","New Hampshire","03584","","","","","Residential Child Care Program","","","","","24","","","","","",""
"Explorations for the Young Child","","(603) 986-0225","explorationsfortheyoungchild@gmail.com","","","66 Main Street","Conway","New Hampshire","03818","","","","","Licensed Group Child Care Program","","","","","40","","","","","",""
"Family Child Care of Madison","","603-367-9094","madisonfamilychildcare@gmail.com","","","571 East Madison Road","Madison","New Hampshire","03849","","","","","Licensed Family Child Care Program","","","","","17","","","","","",""
"Franconia Children's Center","","(603) 823-5643","fcc.execdirector@gmail.com","","","73 Main Street","Franconia","New Hampshire","03580","","","","","Licensed Group Child Care Program","","","","","76","","","","","",""
"Gale River Cooperative Preschool","","(603) 823-9995","galerivercoop@gmail.com","","","231 Gale River Road","Bethlehem","New Hampshire","03574","","","","","Licensed Group Child Care Program","","","","","36","","","","","",""
"GCLC - Little Huskies","","(603) 466-5766","g_learning_center@hotmail.com","","","169 Main Street","Gorham","NH","03581","","","","","Licensed Group Child Care Program","","","","","65","","","","","",""
