Program Name,Provider Enrollment Status,Program Phone,Program Email,Region,County,Shipping Street,Shipping City,Shipping State,Shipping Zip,Billing Street,Billing City,Billing State,Billing Zip,Account Record Type,GSQ Approved Step,License Number,License Issue Date,License Expiration Date,Capacity,Age Weeks Low,Age Months Low,Age Years Low,Age Years High,Program Type,
"100A Middle Child Care","","(603) 668-6868","ben.noble@homeinstead.com","","","100A Middle Street","Manchester","NH","03101","","","","","Licensed Group Child Care Program","","","","","4","","","","","",""
"4 Kids Child Care","","603-859-0609","twhit310@tds.net","","","1145 Meaderboro Road","Farmington","New Hampshire","03835","","","","","Licensed Family Child Care Program","Step 2","","","","12","","","","","",""
"A Brighter Future Learning Center","","(603) 782-8388","abrighterfuturelearningcenter@gmail.com","","","11 Kimball Drive, Suite 103","Hooksett","New Hampshire","03106","","","","","Licensed Group Child Care Program","","","","","102","","","","","",""
"A Kid's Life Early Learning Center, LLC","","(603) 471-5437","akidslifeearlylearningcenter@gmail.com","","","316 NH Route 11","Farmington","NH","03835","","","","","Licensed Group Child Care Program","","","","","85","","","","","",""
"A Place To Grow","","(603) 679-1660","director@aplace2grow.com","","","436 Route 125","Brentwood","New Hampshire","03833","","","","","Licensed Group Child Care Program","Step 2","","","","52","","","","","",""
"A Place to Grow at Harmony Place","","(603) 679-1660","jlegere@aplace2grow.com","","","55 Briggs Way Unit CC","Durham","NH","03824","","","","","Licensed Group Child Care Program","","","","","9","","","","","",""
"A Place to Grow at North Salem Village","","(603) 974-3928","northsalemvillage@aplace2grow.com","","","15 Ermer Road #107","Salem","NH","03079","","","","","Licensed Group Child Care Program","","","","","20","","","","","",""
"ABC's Child Care Center","","(603) 526-5242","tina.walker@newlondonhospital.org","","","273 County Road","New London","New Hampshire","03257","","","","","Licensed Group Child Care Program","","","","","39","","","","","",""
"Above And Beyond Child Care","","(603) 627-4161","rcabc1461@gmail.com","","","45 Mount Saint Mary Way","Hooksett","New Hampshire","03106","","","","","Licensed Group Child Care Program","Step 1","","","","150","","","","","",""
"Above and Beyond Child Care - Merrimack","","(603) 261-3043","rcabc1461@gmail.com","","","325 Daniel Webster Highway","Merrimack","New Hampshire","03054","","","","","Licensed Group Child Care Program","Step 1","","","","109","","","","","",""
"Acorn Brown's Turtle Town Daycare","","(603) 524-4558","nancynorrisbb@gmail.com","","","21 Dartmouth Street","Laconia","New Hampshire","03246","","","","","Licensed Family Child Care Program","","","","","17","","","","","",""
"Acorn School","","(603) 778-8285","sue@acornschoolnh.com","","","136 Winnicutt Road","Stratham","New Hampshire","03885","","","","","Licensed Group Child Care Program","","","","","54","","","","","",""
"Ada's Happiness","","603-461-1965","dieudonnehabonimana7@gmail.com","","","123 Russell Street  Apt. #2","Manchester","NH","03104","","","","","License Exempt Family Child Care Program","","","","","","","","","","",""
"Ages and Stages","","(603) 329-6122","director@agesandstageslc.com","","","499 Main Street","Hampstead","New Hampshire","03841","","","","","Licensed Group Child Care Program","","","","","83","","","","","",""
"All Aboard Preschool & Child Care Center","","(603) 679-9555","allaboard9_05@yahoo.com","","","249 Stage Road","Nottingham","New Hampshire","03290","","","","","Licensed Group Child Care Program","Step 2","","","","73","","","","","",""
"Alpha-Bits Learning Center I","","(603) 641-6642","admin@alphabitsnh.com","","","333 Allard Drive","Manchester","New Hampshire","03102","","","","","Licensed Group Child Care Program","","","","","334","","","","","",""
"Alpha-Bits Learning Center II","","(603) 624-6650","info@alphabitsnh.com","","","227 Londonderry Turnpike","Manchester","New Hampshire","03104","","","","","Licensed Group Child Care Program","","","","","264","","","","","",""
"Alternative Care of Wilton","","(603) 654-2743","altcareofwilton@gmail.com","","","102 Holt Road","Wilton","New Hampshire","03086","","","","","Licensed Family Child Care Program","","","","","9","","","","","",""
"Anne's Daycare","","603-848-0127","annezedmonds@gmail.com","","","33 Towle Road","Chichester","New Hampshire","03258","","","","","Licensed Family Child Care Program","","","","","9","","","","","",""
"Apple Blossoms Child Care","","(603) 424-6000","abccllc@yahoo.com","","","628 Daniel Webster Highway","Merrimack","New Hampshire","03054","","","","","Licensed Group Child Care Program","","","","","68","","","","","",""
"Appleseeds Day School","","(603) 772-9995","theappleseeds@comcast.net","","","15 Hampton Road","Exeter","New Hampshire","03833","","","","","Licensed Group Child Care Program","Step 3","","","","120","","","","","",""
"Ashley Goss Childcare","","(603) 995-1522","gossaplus5@hotmail.com","","","31 Buena Vista Road","Claremont","New Hampshire","03743","","","","","Licensed Family Child Care Program","","","","","9","","","","","",""
"Ashley Warner","","603-273-2396","rawganicroots@protonmail.com","","","30 Autumn Dr","Belmont","NH","03220","","","","","License Exempt Family Child Care Program","","","","","3","","","","","",""
"Atkinson After & Before Care","","(603) 591-3027","atkinson.abc.nh@gmail.com","","","17 Academy Avenue","Atkinson","NH","03811","","","","","Licensed Group Child Care Program","","","","","60","","","","","",""
