Program Name,Provider Enrollment Status,Program Phone,Program Email,Region,County,Shipping Street,Shipping City,Shipping State,Shipping Zip,Billing Street,Billing City,Billing State,Billing Zip,Account Record Type,GSQ Approved Step,License Number,License Issue Date,License Expiration Date,Capacity,Age Weeks Low,Age Months Low,Age Years Low,Age Years High,Program Type,
"Adventures In Learning","","(603) 733-5503","tiffany@sacovalleygym.com","","","230 East Conway Road","Center Conway","New Hampshire","03813","","","","","Licensed Group Child Care Program","Step 2","","","","40","","","","","",""
"Bearcamp Valley School & Children's Center","","(603) 323-8300","lsargent006@gmail.com","","","27 Durrell Road","Tamworth","New Hampshire","03886","","","","","Licensed Group Child Care Program","","","","","100","","","","","",""
"Benny's Little Hooves Child Care","","(603) 989-5370","bennyslittlehooves23@gmail.com","","","1140 Dartmouth College Highway","North Haverhill","NH","03774","","","","","Licensed Family Child Care Program","","","","","17","","","","","",""
"Berlin Head Start","","(603) 752-7138","kthomas@tccap.org","","","610 Sullivan Street","Berlin","New Hampshire","03570","","","","","Licensed Group Child Care Program","Step 3","","","","77","","","","","",""
"BGCCNH Holderness","","(603) 268-9565","lparonto@nhyouth.org","","","19 School Road","Holderness","New Hampshire","03245","","","","","Licensed Group Child Care Program","","","","","45","","","","","",""
"BGCCNNH-Boys & Girls Club of North Country","","(603) 838-5954","sbrackett@nhyouth.org","","","2572 Route 302 Building 2","Lisbon","NH","03585","","","","","Licensed Group Child Care Program","","","","","140","","","","","",""
"Blue Heron School at SLNSC","","603-968-7036","jordy.gianforte@nhnature.org","","","23 Science Center Road","Holderness","New Hampshire","03245","","","","","Licensed Group Child Care Program","","","","","48","","","","","",""
"Bristol Recreation Advisory Council dba Tapply-Thompson Community Center","","(603) 744-2713","ldion@ttccrec.org","","","30 North Main Street","Bristol","New Hampshire","03222","","","","","License Exempt Facility","","","","","80","","","","","",""
"CCBA Afterschool Program","","(603) 448-6477","sue.olmsted@joinccba.org","","","1 Campbell Street","Lebanon","New Hampshire","03766","","","","","Licensed Group Child Care Program","","","","","60","","","","","",""
"Children Unlimited Inc.","","(603) 447-6356","children@childrenunlimitedinc.org","","","182 West Main Street","Conway","New Hampshire","03818-0986","","","","","Licensed Group Child Care Program","Step 2","","","","68","","","","","",""
"Children's Center of The Upper Valley","","(603) 448-1615","l.heiser@ccuv.org","","","178 Mechanic Street","Lebanon","New Hampshire","03766","","","","","Licensed Group Child Care Program","Step 1","","","","95","","","","","",""
"Colebrook Community Child Care-Mighty Mohawks","","(603) 237-4350","colebrookcommunitycc@gmail.com","","","27 Dumont Street","Colebrook","NH","03576","","","","","Licensed Group Child Care Program","","","","","149","","","","","",""
"Conway Head Start","","(603) 447-5161","jaubuchont@tccap.org","","","73 Main Street","Conway","New Hampshire","03818","","","","","Licensed Group Child Care Program","Step 3","","","","20","","","","","",""
"Cradle and Crayon South","","(603) 381-3459","brendadanielson@yahoo.com","","","45 Lyme Road","Hanover","New Hampshire","03755","","","","","Licensed Group Child Care Program","","","","","101","","","","","",""
"Curious Cottage Preschool at the Rey Cultural Center","","(603) 236-3308","leah@thereycenter.org","","","13 Noon Peak Road","Waterville Valley","NH","03215","","","","","Licensed Group Child Care Program","","","","","12","","","","","",""
"Dartmouth College Child Care Center","","(603) 646-6610","dcccc@dartmouth.edu","","","21 Reservoir Road","Hanover","New Hampshire","03755","","","","","Licensed Group Child Care Program","","","","","86","","","","","",""
